sbd,van,toan,nn,mc
9000,6.5,5,8.25,2.5
9001,,,,
9002,,,,
9003,,,,
9004,6.5,5.75,7.75,1.75
9005,7.5,7.5,9.75,1.75
9006,6.75,8.75,9.75,4.5
9007,5.75,4.75,7,1.75
9008,6.5,7.25,9.5,3.25
9009,5,4.75,7.5,1.25
9010,,,,
9011,6.5,7.75,9.75,3
9012,,,,
9013,,,,
9014,6.5,9,10,3.25
9015,7,7.75,8,1.5
9016,8.25,8,9,6.25
9017,8,7.75,9.5,4.75
9018,7.5,9.75,8.75,2.25
9019,6.75,4.75,8.75,1.5
9020,7,6.75,8.75,5.5
9021,7.25,9,9.5,5.5
9022,,,,
9023,7.75,7.75,8.5,1.25
9024,6.25,4.75,6,1.25
9025,6.75,7,9.75,2.5
9026,,,,
9027,,,,
9028,4.25,5,8.25,1.5
9029,7.75,8.75,10,4.5
9030,7,6.25,7,1.5
9031,7,6.25,8.5,4.5
9032,7,7,8,3
9033,7,7.5,9.75,2.5
9034,,,,
9035,7,5.5,9,3.5
9036,7,8.25,9.75,4
9037,8,7,9.25,2.25
9038,4.75,4,8.5,1.5
9039,5.5,4.75,9,4
9040,6.25,7.75,9.5,3.5
9041,6.5,8,9.75,3.25
9042,5.75,7,9.5,4.25
9043,5.5,6.25,8.75,5.5
9044,6,5.5,8.75,2.75
9045,7.25,6.25,9,3
9046,7.25,6.25,9,3.75
9047,6,5.75,8.75,3.25
9048,7.25,8.25,10,5
9049,7,8.25,8.25,2.25
9050,,,,
9051,6.25,5,7.75,2
9052,7,8.25,8.5,1.75
9053,7.25,6.75,9,4.25
9054,5.75,8.75,8,2.25
9055,,,,
9056,6.75,7.5,9.75,4.5
9057,6.25,6.25,8.25,1.75
9058,,,,
9059,7,7.5,9.75,2.75
9060,6.75,8.5,9.75,2.5
9061,7,8.25,9.75,2.75
9062,,,,
9063,6,7.5,9.75,2.75
9064,,,,
9065,,,,
9066,,,,
9067,7.25,9,10,3.5
9068,6.25,7.75,9.5,3.75
9069,6.25,8,8.75,2
9070,6.25,5.5,7.5,1.5
9071,6.5,6.75,10,4
9072,5.5,6.5,8.25,1.5
9073,6.25,7.25,8.75,2.75
9074,6,6.25,9.75,2
9075,6.75,6.75,9.25,3.25
9076,,,,
9077,6.75,9,9.75,2
9078,7.5,8.75,9.5,2.75
9079,6.5,8,9.5,5.5
9080,,,,
9081,,,,
9082,6,8,8,6.5
9083,,,,
9084,6.75,5.5,7.25,3.25
9085,6.75,7.75,8.5,3
9086,5.5,4.25,6.25,2.5
9087,,,,
9088,,,,
9089,6.5,9,10,7.25
9090,7.25,8.5,9.5,5.5
9091,7.25,7.75,8,5
9092,6.25,8.75,9.5,5
9093,6,8.25,7.25,4.25
9094,7,8.5,8.75,2.5
9095,6.75,9.25,8.75,6.75
9096,7.5,7.25,9.25,3.5
9097,6.5,5.75,6,1.25
9098,7.25,9.25,8.25,6
9099,7,8.5,7.5,4.5
9100,6.5,7,8.25,3.25
9101,8,8.25,9.75,5.75
9102,7.5,9,10,7.5
9103,7.5,7.75,8.75,1.75
9104,5.25,8,7.25,2.25
9105,4,8.25,7.25,7
9106,7,9.25,9,7.5
9107,7,8.75,9.75,7
9108,,,,
9109,8.5,7,7.75,5
9110,6.5,8.5,9.25,5.25
9111,6.75,9.75,8.5,6
9112,6.25,8.25,8.5,1.75
9113,5.5,9,9.25,6
9114,5.75,7.25,7.75,3.5
9115,5.5,9,7.25,2.5
9116,,,,
9117,6.25,9,10,4.25
9118,5.5,8.25,6.25,4.25
9119,5.5,7.25,7.5,1.25
9120,6.75,7,6,2.25
9121,6.5,6.75,8.25,1.5
9122,5.25,7.5,6.75,1.25
9123,5,3.5,4,1.5
9124,5.25,7,8,0.5
9125,5,3.75,6,3.5
9126,3.25,6.5,9.25,3.25
9127,6.75,8.75,10,6.75
9128,,,,
9129,8.25,6.75,8.75,4.75
9130,8,7.25,7.75,3.75
9131,7.5,7.5,5.75,2
9132,6.75,8.5,9.25,6.5
9133,8,8.25,9.75,7.25
9134,5.75,2,4,2
9135,7.75,6.75,8.75,3.75
9136,6.5,6.5,8.75,4.5
9137,6,7.75,7.75,1.5
9138,,,,
9139,6.75,7.25,8,4.5
9140,7.75,8,8.25,5.75
9141,6.5,4,2,1.25
9142,,,,
9143,4.25,7,7,1.5
9144,6.5,8.25,9.75,5
9145,9,9.5,9.25,4.5
9146,6.75,7.25,7.5,3.5
9147,6.75,7,10,0
9148,7.75,9.5,10,4.75
9149,6,8.5,10,3.75
9150,8,7.75,9.25,2.5
9151,7.75,9,9.5,3.25
9152,9,9,9.75,1.25
9153,8,8,9.25,2
9154,6.5,8.25,8.25,1.25
9155,7.75,8.5,9.75,1.25
9156,6.25,8,9.75,2
9157,7.5,9.25,9.75,4.5
9158,7,9,10,4.5
9159,7.5,6.25,9.5,3
9160,7.5,9.25,9.25,6.75
9161,7.5,8,10,4.5
9162,7.5,9,9.25,3.25
9163,6.75,8.25,9,3.5
9164,5,8.25,9.5,5.5
9165,7.75,7.75,8.75,1.25
9166,6.5,9,10,0.5
9167,7.5,8.75,8.5,4.75
9168,8,9.75,10,4.5
9169,7.75,7.75,9.75,6.75
9170,7.5,8,8.5,0.25
9171,7,9,9.5,7.5
9172,7.75,9,10,7.5
9173,6.5,8.5,9.75,3.75
9174,7.5,8.5,9.75,7.5
9175,8,9,9.75,1.25
9176,7.25,9,9.75,5.25
9177,6.25,8.75,9.25,1.75
9178,7.75,9.5,10,6.5
9179,7.75,7.25,9.25,3
9180,6.25,8.25,9.25,3.5
9181,7,9,10,3.5
9182,6,8.75,8,3
9183,5.5,8.75,10,3
9184,6.25,8,9.5,3
9185,8,9.5,10,4.5
9186,8.25,8.5,8.5,4.75
9187,7.5,9,10,2
9188,6.25,6.25,7,1.25
9189,7,8.5,9.25,4.25
9190,6.5,5.5,6.5,0
9191,8.25,7.5,8.5,1.25
9192,6.25,8.75,9.75,3
9193,6.25,9.25,9.25,4.5
9194,7.75,8.75,10,4
9195,5.5,7.75,8.25,3.5
9196,6.75,9,9,3
9197,7.25,9,10,0.5
9198,7,7,9.5,2
9199,6.5,6.5,9,0
9200,7,8.5,9,3
9201,7,9.5,9.5,4.5
9202,5.5,8.75,8.5,1.75
9203,6.5,7.5,9.5,0
9204,6.5,8.5,9.75,4.5
9205,7.25,9,8.25,3
9206,7.75,9,9.75,4.5
9207,5.75,9.5,9.5,2.5
9208,6.75,8.5,10,1.5
9209,7.25,9,8.75,3.5
9210,6.75,7.25,9.5,3.5
9211,7.75,9.75,9.5,4.5
9212,7.25,5.25,8.5,3
9213,6.75,7.25,8.75,3
9214,6.75,6,4.5,3
9215,7.25,9,9.75,4
9216,7.25,9,9.25,4.75
9217,7,7.75,8.75,3
9218,8,8,10,3
9219,7.5,7.25,8.75,1.25
9220,7.5,8,8.5,1.25
9221,8,9.5,9.25,1.5
9222,5.75,7.75,9.25,2.75
9223,5.75,8.25,7.25,4.5
9224,6,8.75,9.75,10
9225,7.5,9,9.25,3.5
9226,7.5,8,9.25,3.75
9227,8.5,8.5,9.25,4.75
9228,7.5,8,8.75,6.75
9229,7.5,9.5,9.75,2.75
9230,8,8.75,9.5,0
9231,7.25,9,10,4.75
9232,6.75,8,9.25,2
9233,8,7.5,8.25,1.5
9234,7.5,9.5,9.75,5.5
9235,7,8.75,9.5,0
9236,8,7.5,9.25,2
9237,7.75,8,9.5,4.5
9238,6.25,9,9.75,1.25
9239,6.25,7.75,9.75,3
9240,6.5,8.5,7.5,3
9241,5.25,6.5,8.5,3
9242,8.5,9,9.75,0
